j,i,slope,thickness,topo,dis_from_border,catchment_area,glacier_mask,mb_catchment,mb_altitude
0,0,0.115759216,,2516.0,1726.9734,,0,,
0,1,0.09834776,,2520.0,1686.3457,,0,,
0,2,0.083654344,,2522.0,1645.8387,,0,,
0,3,0.083654344,,2524.0,1605.4613,,0,,
0,4,0.058074158,,2526.0,1565.2236,,0,,
0,5,0.07340919,,2527.0,1525.1367,,0,,
0,6,0.09902394,,2528.0,1485.2128,,0,,
0,7,0.083654344,,2530.0,1445.4653,,0,,
0,8,0.07784475,,2532.0,1405.9093,,0,,
0,9,0.10363059,,2533.0,1366.5614,,0,,
0,10,0.09834776,,2536.0,1327.4401,,0,,
0,11,0.10679613,,2539.0,1288.5659,,0,,
0,12,0.115759216,,2543.0,1249.962,,0,,
0,13,0.12511803,,2547.0,1211.6543,,0,,
0,14,0.124587744,,2552.0,1173.6716,,0,,
0,15,0.09559392,,2557.0,1135.2325,,0,,
0,16,0.05807416,,2560.0,1096.2892,,0,,
0,17,0.09347399,,2562.0,1057.6602,,0,,
0,18,0.11803068,,2567.0,1019.38116,,0,,
0,19,0.12927888,,2572.0,981.4932,,0,,
0,20,0.13863975,,2578.0,944.04346,,0,,
0,21,0.15176521,,2584.0,907.086,,0,,
0,22,0.15685739,,2591.0,870.68365,,0,,
0,23,0.114024855,,2597.0,834.909,,0,,
0,24,0.083654344,,2600.0,799.84625,,0,,
0,25,0.083654344,,2603.0,765.59326,,0,,
0,26,0.083654344,,2606.0,732.2636,,0,,
0,27,0.10363059,,2609.0,699.98926,,0,,
0,28,0.114024855,,2614.0,668.92303,,0,,
0,29,0.09559392,,2618.0,639.24097,,0,,
0,30,0.10679613,,2622.0,611.14484,,0,,
0,31,0.18394345,,2627.0,584.8632,,0,,
0,32,0.36700797,,2638.0,560.6514,,0,,
0,33,0.4521705,,2660.0,538.78845,,0,,
0,34,0.36884028,,2679.0,519.571,,0,,
0,35,0.29440713,,2691.0,501.46185,,0,,
0,36,0.27659687,,2701.0,480.7546,,0,,
0,37,0.25558975,,2711.0,463.12418,,0,,
0,38,0.24643703,,2720.0,448.93317,,0,,
0,39,0.24643703,,2729.0,438.5157,,0,,
0,40,0.3307544,,2738.0,432.14465,,0,,
0,41,0.55828315,,2755.0,430.0,,0,,
0,42,0.69131213,,2787.0,430.0,,0,,
0,43,0.6961179,,2822.0,432.14465,,0,,
0,44,0.7012138,,2854.0,438.5157,,0,,
0,45,0.75409406,,2889.0,448.93317,,0,,
0,46,0.78634286,,2929.0,463.12418,,0,,
0,47,0.7692033,,2969.0,480.7546,,0,,
0,48,0.6752845,,3005.0,501.46185,,0,,
0,49,0.45829764,,3031.0,524.8819,,0,,
0,50,0.45884818,,3035.0,550.6687,,0,,
0,51,0.70786154,,3012.0,578.50586,,0,,
0,52,0.7760312,,2976.0,608.1118,,0,,
0,53,0.7397865,,2944.0,639.24097,,0,,
0,54,0.6916513,,2921.0,668.92303,,0,,
0,55,0.73452103,,2900.0,699.98926,,0,,
0,56,0.8011475,,2877.0,732.2636,,0,,
0,57,0.84413904,,2851.0,765.59326,,0,,
0,58,0.872656,,2829.0,799.84625,,0,,
0,59,0.871151,,2821.0,834.909,,0,,
0,60,0.80962765,,2823.0,870.68365,,0,,
0,61,0.6398282,,2828.0,904.02325,,0,,
0,62,0.5351894,,2822.0,923.24915,,0,,
0,63,0.6961179,,2794.0,943.0636,,0,,
0,64,0.72305983,,2755.0,961.5092,,0,,
0,65,0.59113675,,2722.0,981.4932,,0,,
0,66,0.4084077,,2699.0,1002.9237,,0,,
0,67,0.22959675,,2685.0,1022.0983,,0,,
0,68,0.13527001,,2679.0,1033.7902,,0,,
0,69,0.115759216,,2674.0,1047.1184,,0,,
0,70,0.115759216,,2671.0,1062.0216,,0,,
0,71,0.124587744,,2668.0,1078.4346,,0,,
0,72,0.13911413,,2667.0,1096.2892,,0,,
0,73,0.13911413,,2667.0,1115.5165,,0,,
0,74,0.11803068,,2668.0,1136.0466,,0,,
0,75,0.1163314,,2669.0,1157.8104,,0,,
0,76,0.13911413,,2669.0,1180.7396,,0,,
0,77,0.14052719,,2668.0,1204.7676,,0,,
0,78,0.124587744,,2667.0,1229.8301,,0,,
0,79,0.15475732,,2664.0,1255.865,,0,,
0,80,0.17116973,,2661.0,1282.8134,,0,,
0,81,0.18947199,,2659.0,1310.6185,,0,,
0,82,0.22959675,,2657.0,1339.2274,,0,,
0,83,0.25143293,,2657.0,1368.5895,,0,,
0,84,0.29542586,,2659.0,1398.6572,,0,,
0,85,0.35765207,,2660.0,1429.3862,,0,,
0,86,0.39699042,,2656.0,1460.7347,,0,,
0,87,0.404031,,2648.0,1492.6637,,0,,
0,88,0.32379064,,2642.0,1525.1367,,0,,
0,89,0.2504431,,2641.0,1558.1198,,0,,
0,90,0.23096347,,2642.0,1591.5809,,0,,
0,91,0.23527592,,2644.0,1625.491,,0,,
0,92,0.23818876,,2647.0,1659.8223,,0,,
0,93,0.21714544,,2650.0,1694.5492,,0,,
0,94,0.23818876,,2653.0,1729.648,,0,,
0,95,0.26576337,,2656.0,1765.0963,,0,,
0,96,0.2543755,,2661.0,1800.8737,,0,,
0,97,0.22515948,,2666.0,1825.3488,,0,,
0,98,0.19614309,,2669.0,1836.9608,,0,,
0,99,0.1752932,,2672.0,1849.4999,,0,,
0,100,0.1601565,,2675.0,1862.9474,,0,,
0,101,0.1347814,,2679.0,1877.2837,,0,,
0,102,0.15002698,,2681.0,1892.4885,,0,,
0,103,0.18003486,,2684.0,1908.5414,,0,,
0,104,0.20508195,,2688.0,1925.4208,,0,,
1,0,0.115759216,,2519.0,1713.5378,,0,,
1,1,0.090568416,,2523.0,1672.584,,0,,
1,2,0.083654344,,2525.0,1631.7352,,0,,
1,3,0.07784475,,2527.0,1591.0,,0,,
1,4,0.06769816,,2528.0,1550.3871,,0,,
1,5,0.083654344,,2530.0,1509.9062,,0,,
1,6,0.0883251,,2532.0,1469.5686,,0,,
1,7,0.0883251,,2533.0,1429.3862,,0,,
1,8,0.09347399,,2535.0,1389.3726,,0,,
1,9,0.09347399,,2537.0,1349.5425,,0,,
1,10,0.09969542,,2539.0,1309.913,,0,,
1,11,0.10679613,,2542.0,1270.5027,,0,,
1,12,0.115759216,,2546.0,1231.3326,,0,,
1,13,0.115759216,,2550.0,1192.4265,,0,,
1,14,0.10363059,,2554.0,1153.811,,0,,
1,15,0.07340919,,2558.0,1115.5165,,0,,
1,16,0.07061221,,2560.0,1077.5769,,0,,
1,17,0.09902394,,2564.0,1039.142,,0,,
1,18,0.10679613,,2568.0,1000.1545,,0,,
1,19,0.1163314,,2573.0,961.5092,,0,,
1,20,0.11575922,,2578.0,923.24915,,0,,
1,21,0.12773514,,2583.0,885.4242,,0,,
1,22,0.14284961,,2589.0,848.0926,,0,,
1,23,0.114024855,,2595.0,811.3224,,0,,
1,24,0.07784475,,2598.0,775.19354,,0,,
1,25,0.083654344,,2601.0,739.8,,0,,
1,26,0.083654344,,2604.0,705.25244,,0,,
1,27,0.09902394,,2607.0,671.68146,,0,,
1,28,0.12080776,,2612.0,639.24097,,0,,
1,29,0.10490861,,2617.0,608.1118,,0,,
1,30,0.11575922,,2621.0,578.50586,,0,,
1,31,0.20663308,,2627.0,550.6687,,0,,
1,32,0.4084077,,2639.0,524.8819,,0,,
1,33,0.5008271,,2664.0,501.46185,,0,,
1,34,0.4003978,,2685.0,480.7546,,0,,
1,35,0.30906004,,2698.0,463.12418,,0,,
1,36,0.28117895,,2708.0,442.7121,,0,,
1,37,0.2591925,,2717.0,423.5009,,0,,
1,38,0.2730431,,2726.0,407.9338,,0,,
1,39,0.288201,,2735.0,396.4404,,0,,
1,40,0.39999112,,2745.0,389.38156,,0,,
1,41,0.6086416,,2766.0,387.0,,0,,
1,42,0.71363515,,2799.0,387.0,,0,,
1,43,0.71363515,,2835.0,389.38156,,0,,
1,44,0.7187616,,2868.0,396.4404,,0,,
1,45,0.7676848,,2904.0,407.9338,,0,,
1,46,0.79910886,,2945.0,423.5009,,0,,
1,47,0.7612215,,2986.0,442.7121,,0,,
1,48,0.6592434,,3020.0,465.11612,,0,,
1,49,0.4792246,,3046.0,490.27542,,0,,
1,50,0.42476013,,3054.0,517.7886,,0,,
1,51,0.6663468,,3034.0,547.30066,,0,,
1,52,0.74315894,,3001.0,578.50586,,0,,
1,53,0.7217214,,2972.0,608.1118,,0,,
1,54,0.6690956,,2949.0,639.24097,,0,,
1,55,0.6854799,,2932.0,671.68146,,0,,
1,56,0.76088655,,2914.0,705.25244,,0,,
1,57,0.8157699,,2893.0,739.8,,0,,
1,58,0.8616349,,2878.0,775.19354,,0,,
1,59,0.86298394,,2872.0,811.3224,,0,,
1,60,0.78448385,,2868.0,847.0018,,0,,
1,61,0.63278455,,2860.0,865.35834,,0,,
1,62,0.620032,,2841.0,885.4242,,0,,
1,63,0.73534435,,2807.0,904.02325,,0,,
1,64,0.76292664,,2767.0,923.24915,,0,,
1,65,0.6719734,,2729.0,944.04346,,0,,
1,66,0.4675153,,2701.0,966.3048,,0,,
1,67,0.23096347,,2686.0,980.55084,,0,,
1,68,0.114024855,,2681.0,992.7321,,0,,
1,69,0.09834776,,2677.0,1006.6042,,0,,
1,70,0.09347399,,2675.0,1022.0983,,0,,
1,71,0.10679613,,2673.0,1039.142,,0,,
1,72,0.11575922,,2673.0,1057.6602,,0,,
1,73,0.11575922,,2673.0,1077.5769,,0,,
1,74,0.1163314,,2673.0,1098.8162,,0,,
1,75,0.11803068,,2674.0,1121.3029,,0,,
